Date,Open DM,High DM,Low DM,Close DM,Adj CloseDM,Volume DM,Open AI,High AI,Low AI,Close AI,Adj Close AI,Volume AI,,,,
29-04-2022,4048.899902,4085,3906,3944.25,3944.25,238651,752,761,735.549988,739,739,7219115,,,,
02-05-2022,3939.600098,3997.800049,3889,3983.350098,3983.350098,265831,734,742.950012,730.349976,741.349976,741.349976,3938533,,,,
04-05-2022,4000,4023.949951,3850.199951,3867.149902,3867.149902,270400,737,739.349976,717,722.400024,722.400024,6785271,,,,
05-05-2022,3920,3980,3775,3943.800049,3943.800049,457770,726,733.099976,714.25,718.950012,718.950012,4836692,,,,
06-05-2022,3866,3889.649902,3602.149902,3666.199951,3666.199951,858787,711.25,723.900024,707.75,710.25,710.25,5912312,,,,
09-05-2022,3655,3655,3486,3520.300049,3520.300049,732787,706.099976,720.5,704.450012,711.5,711.5,4819274,,,,
10-05-2022,3501,3545.25,3402.149902,3414.949951,3414.949951,696666,711,728.5,710.150024,719.650024,719.650024,6746893,,,,
11-05-2022,3448,3448,3311.699951,3339.699951,3339.699951,689554,719.650024,735,716.900024,722.849976,722.849976,6919703,,,,
12-05-2022,3310,3334.949951,3241.25,3270.449951,3270.449951,725552,715.25,722.799988,701.25,705.400024,705.400024,6754953,,,,
13-05-2022,3351,3357.75,3205,3230.600098,3230.600098,546754,713,713,684.75,689.900024,689.900024,11938252,,,,
16-05-2022,3260,3620,3186,3561.100098,3561.100098,1871384,685.849976,698,679.650024,693.200012,693.200012,5412233,,,,
17-05-2022,3620,3724,3473.449951,3657,3657,926148,695,710,690.849976,707.049988,707.049988,4847812,,,,
18-05-2022,3700,3781,3650,3664.050049,3664.050049,712472,721,727.150024,689.200012,696.150024,696.150024,18992703,,,,
19-05-2022,3513,3649,3491.5,3614.850098,3614.850098,439658,685,693,667.849976,674.25,674.25,7322668,,,,
20-05-2022,3708.899902,3717.199951,3610,3630.399902,3630.399902,334172,688.5,691.5,683,687.900024,687.900024,5577407,,,,
23-05-2022,3650,3694.5,3552.050049,3574.100098,3574.100098,258246,681.799988,693.900024,679.599976,685.849976,685.849976,3788601,,,,
24-05-2022,3579.949951,3685,3571.199951,3656.75,3656.75,391193,689.25,689.25,675.849976,678.200012,678.200012,4053608,,,,
25-05-2022,3670,3694,3555.649902,3586.449951,3586.449951,224375,681.25,689.900024,679.549988,688.200012,688.200012,4188088,,,,
26-05-2022,3586.449951,3635.699951,3465.300049,3577.449951,3577.449951,279250,690,695.5,675.900024,693.650024,693.650024,5780597,,,,
27-05-2022,3605,3649,3586,3613.850098,3613.850098,199688,697.049988,700,676,684.400024,684.400024,7131633,,,,
30-05-2022,3660,3824.899902,3645,3796.399902,3796.399902,429986,687.450012,703.75,683,699.049988,699.049988,4675033,,,,
31-05-2022,3807.75,4049,3767.899902,3972.800049,3972.800049,1335568,697.5,706.599976,692.599976,700.200012,700.200012,44593174,,,,
01-06-2022,3960,4039,3812.550049,3874.050049,3874.050049,620365,701.549988,706.200012,691.25,694.650024,694.650024,3749781,,,,
02-06-2022,3885,3927.550049,3831.100098,3856.899902,3856.899902,302036,688.900024,696.950012,683.049988,695.950012,695.950012,3466993,,,,
03-06-2022,3888,3888.399902,3768,3820.100098,3820.100098,349881,697.049988,700.799988,685.25,686.5,686.5,6673615,,,,
06-06-2022,3800,3800,3675,3734.75,3734.75,295307,682.200012,689.799988,676.5,682.950012,682.950012,6407024,,,,
07-06-2022,3704,3778.800049,3652.050049,3726.699951,3726.699951,301552,678.150024,687.25,673.299988,685.299988,685.299988,8349903,,,,
